screen_id	source_database	query_family	pubmed_id	title	first_author	pub_year	journal	title_abstract_decision	exclusion_code	metric_signal	outcome_signal	population_signal	notes
PUBMED_MAIN_084	PubMed	main_tiab_beyond_ahi_hard_outcomes	38651100	Correlation between obstructive sleep apnea and hypoperfusion in patients with acute cerebral infarction.	Zhou Y	2024	Frontiers in neurology	exclude	E3	none	acute cerebral hypoperfusion	acute cerebral infarction cohort	Imaging surrogate outcome, not target hard endpoint.
PUBMED_MAIN_085	PubMed	main_tiab_beyond_ahi_hard_outcomes	39206667	Sleep-disordered breathing increases mortality in patients with diabetes.	Vichova T	2025	Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine	uncertain		sleep-disordered breathing variables / possible hypoxemia metrics	mortality	diabetes subgroup within SHHS	Mortality outcome is relevant but full text is needed to confirm beyond-AHI exposure extractability.
PUBMED_MAIN_086	PubMed	main_tiab_beyond_ahi_hard_outcomes	34797743	Sleep Apnea-Specific Hypoxic Burden and Not the Sleepy Phenotype as a Novel Measure of Cardiovascular and Mortality Risk in a Clinical Cohort.	Mehra R	2022	American journal of respiratory and critical care medicine	include		HB	cardiovascular and mortality risk	clinical OSA cohort	Original HB-focused risk study; core candidate for full-text review.
PUBMED_MAIN_087	PubMed	main_tiab_beyond_ahi_hard_outcomes	40565914	A Structured Narrative Review of the OSA-T2DM Axis.	Passali D	2025	Journal of clinical medicine	exclude	E7	none	OSA-T2DM narrative review	OSA and diabetes	Narrative review.
PUBMED_MAIN_088	PubMed	main_tiab_beyond_ahi_hard_outcomes	36254322	Association of Preoperative Sleep-Disordered Breathing With Functional Status After Septal Myectomy for Obstructive Hypertrophic Cardiomyopathy.	Sun D	2022	CJC open	exclude	E3	ODI	functional status after myectomy	obstructive HCM with SDB	Postoperative functional status is outside target hard-outcome scope.
PUBMED_MAIN_089	PubMed	main_tiab_beyond_ahi_hard_outcomes	35679775	Nocturnal hypoxemia and central apneas increase mortality, but not recurrent ischemic events after ischemic stroke.	Huhtakangas JK	2022	Sleep medicine	uncertain		nocturnal hypoxemia plus central apneas	mortality after ischemic stroke	post-stroke mixed sleep-breathing cohort	Mortality endpoint is relevant, but mixed central/obstructive physiology may fail full-text eligibility.
PUBMED_MAIN_090	PubMed	main_tiab_beyond_ahi_hard_outcomes	34755597	Association of obstructive sleep apnea and nocturnal hypoxemia with all-cancer incidence and mortality: a systematic review and meta-analysis.	Tan BKJ	2022	Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine	exclude	E7	none	cancer incidence and mortality meta	OSA and cancer	Systematic review/meta-analysis.
PUBMED_MAIN_091	PubMed	main_tiab_beyond_ahi_hard_outcomes	34517118	Sleep-disordered breathing is independently associated with reduced atrial connexin 43 expression.	Hegner P	2021	Heart rhythm	exclude	E3	none	atrial connexin expression	AF surgical cohort with SDB	Mechanistic tissue biomarker paper, not hard-outcome prognostic analysis.
PUBMED_MAIN_092	PubMed	main_tiab_beyond_ahi_hard_outcomes	12076402	Continuous positive airways pressure for obstructive sleep apnoea.	White J	2002	The Cochrane database of systematic reviews	exclude	E7	none	CPAP review	adult OSA	Review article.
PUBMED_MAIN_093	PubMed	main_tiab_beyond_ahi_hard_outcomes	32036486	Increased platelet activation in sleep apnea subjects with intermittent hypoxemia.	Krieger AC	2020	Sleep & breathing = Schlaf & Atmung	exclude	E3	intermittent hypoxemia	platelet activation	OSA subjects without CVD	Platelet activation is a surrogate outcome.
PUBMED_MAIN_094	PubMed	main_tiab_beyond_ahi_hard_outcomes	38749745	Role of Sleep-Disordered Breathing and Epicardial Connections in the Recurrence of Atrial Fibrillation.	Nyuta E	2024	International heart journal	uncertain		ODI / PSG-defined SDB	AF recurrence	AF ablation cohort	Clinical recurrence outcome is relevant but endpoint and cohort are specialized; keep for full-text rule check.
PUBMED_MAIN_095	PubMed	main_tiab_beyond_ahi_hard_outcomes	40321266	Sleep Health During Recovery After Stroke.	Fulk GD	2025	medRxiv : the preprint server for health sciences	exclude	E1	none	stroke recovery sleep health	post-stroke without moderate-severe OSA	Wrong population framing for this review.
PUBMED_MAIN_096	PubMed	main_tiab_beyond_ahi_hard_outcomes	34153800	Postprandial hyperglycemia in type 2 diabetes and obstructive sleep apnea.	Aurora RN	2021	Sleep medicine	exclude	E3	none	postprandial hyperglycemia	T2D with OSA	Metabolic surrogate outcome.
PUBMED_MAIN_097	PubMed	main_tiab_beyond_ahi_hard_outcomes	37187434	Nocturnal Hypoxemia Associates With Symptom Progression and Mortality in Patients With Progressive Fibrotic Interstitial Lung Disease.	Myall KJ	2023	Chest	exclude	E1	nocturnal hypoxemia	symptom progression and mortality	progressive fibrotic ILD	Wrong target population.
PUBMED_MAIN_098	PubMed	main_tiab_beyond_ahi_hard_outcomes	30933419	Nocturnal hypoxaemia is associated with adverse outcomes in interstitial lung disease.	Troy LK	2019	Respirology (Carlton, Vic.)	exclude	E1	TST<90	adverse ILD outcomes	interstitial lung disease	Wrong target population.
PUBMED_MAIN_099	PubMed	main_tiab_beyond_ahi_hard_outcomes	26943468	Sleep Disordered Breathing and Risk of Stroke in Older Community-Dwelling Men.	Stone KL	2016	Sleep	uncertain		SDB predictors with possible nocturnal hypoxemia metrics	incident stroke	older community-dwelling men	Important hard outcome paper; full text needed to verify that beyond-AHI metrics are extractable.
PUBMED_MAIN_099	PubMed	main_tiab_beyond_ahi_hard_outcomes	37837825	Mortality in obstructive sleep apnea syndrome (OSAS) and overlap syndrome (OS): The role of nocturnal hypoxemia and CPAP compliance.	Nena	2024	Sleep medicine	exclude	E1	nocturnal hypoxemia	all-cause mortality	mixed OSAS and overlap syndrome cohort	Mixed overlap-syndrome design prevents clean OSA-specific effect extraction under the current protocol.
PUBMED_MAIN_100	PubMed	main_tiab_beyond_ahi_hard_outcomes	33268490	Obstructive Sleep Apnea and Incident Cancer: A Large Retrospective Multicenter Clinical Cohort Study.	Kendzerska T	2021	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	exclude	E3	nocturnal hypoxemia	incident cancer	adult OSA cohort	Cancer incidence is outside the planned hard cardiovascular/mortality scope.
PUBMED_MAIN_101	PubMed	main_tiab_beyond_ahi_hard_outcomes	34757390	Risk of chronic kidney disease in patients with obstructive sleep apnea.	Beaudin AE	2022	Sleep	exclude	E3	none	CKD risk	adult OSA cohort	Renal disease incidence is outside the target hard-outcome scope.
PUBMED_MAIN_102	PubMed	main_tiab_beyond_ahi_hard_outcomes	34226030	Sleep Disordered Breathing and Mortality in Patients With Hypertrophic Obstructive Cardiomyopathy Undergoing Septal Myectomy.	Cui H	2021	Mayo Clinic proceedings	include		ODI	mortality	obstructive HCM with septal myectomy and SDB	Original mortality study with extractable ODI-based exposure.
PUBMED_MAIN_103	PubMed	main_tiab_beyond_ahi_hard_outcomes	36535657	Sleep Apnea and Incident Unprovoked Venous Thromboembolism: Data from the Pays de la Loire Sleep Cohort.	Trzepizur W	2023	Thrombosis and haemostasis	exclude	E3	nocturnal hypoxemia markers	incident VTE	OSA clinical cohort	VTE is outside the prespecified cardiovascular endpoint set.
PUBMED_MAIN_104	PubMed	main_tiab_beyond_ahi_hard_outcomes	41306066	Nocturnal Hypoxemic Burden Predicts Mortality in Patients Awaiting Heart Transplantation.	Potratz M	2025	Journal of sleep research	uncertain		nocturnal hypoxemic burden	mortality	end-stage HF awaiting transplant with SDB	Hard mortality endpoint and relevant metric, but mixed SDB population needs full-text assessment.
PUBMED_MAIN_105	PubMed	main_tiab_beyond_ahi_hard_outcomes	31969341	Association of Sleep Apnea with Mortality in Patients with Advanced Kidney Disease.	Jhamb M	2020	Clinical journal of the American Society of Nephrology : CJASN	uncertain		sleep apnea measures possibly including hypoxemia metrics	mortality	advanced CKD / ESKD cohort	Mortality is relevant, but full text is needed to confirm exposure-family fit.
PUBMED_MAIN_105	PubMed	main_tiab_beyond_ahi_hard_outcomes	37734671	Pulse rate variability predicted cardiovascular disease in sleep disordered breathing: The Guangdong sleep health study.	Lao	2023	Respiratory medicine	exclude	E2	pulse rate variability	CVD risk / prevalence	community SDB cohort	Primary exposure is pulse rate variability rather than the prespecified hypoxemia metric family.
PUBMED_MAIN_106	PubMed	main_tiab_beyond_ahi_hard_outcomes	37020157	Clinical outcomes of obstructive sleep apnea in patients with acute coronary syndrome in relation to hyperuricemia status.	Zhao X	2023	Journal of sleep research	exclude	E2	none	ACS clinical outcomes by hyperuricemia	ACS with OSA	Wrong exposure family for this review.
PUBMED_MAIN_107	PubMed	main_tiab_beyond_ahi_hard_outcomes	37724626	Association of hypoxic burden metrics with cardiovascular outcomes in heart failure and sleep-disordered breathing.	Huang B	2023	ESC heart failure	uncertain		T90 / TRT90 / ODI / hypoxic burden metrics	cardiovascular outcomes	heart failure with SDB	Highly relevant metrics and outcomes, but mixed SDB population needs full-text evaluation.
PUBMED_MAIN_108	PubMed	main_tiab_beyond_ahi_hard_outcomes	38163943	Obstructive sleep apnea and temporal changes in cardiac repolarization in patients undergoing coronary artery bypass grafting.	Teo YH	2024	Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine	exclude	E2	none	repolarization and MACCE	CABG patients with OSA	Wrong exposure family; OSA itself rather than beyond-AHI hypoxic metrics.
PUBMED_MAIN_109	PubMed	main_tiab_beyond_ahi_hard_outcomes	32577770	Prevalence of Sleep-Disordered Breathing in a Cohort of Adult Fontan Patients.	Cg S	2020	Pediatric cardiology	exclude	E3	none	prevalence of SDB	adult Fontan patients	Prevalence study, not target prognostic analysis.
PUBMED_MAIN_110	PubMed	main_tiab_beyond_ahi_hard_outcomes	35723851	Body composition and obstructive sleep apnoea assessment in adult patients with Prader-Willi syndrome: a case control study.	Pugliese G	2022	Journal of endocrinological investigation	exclude	E1	none	case-control PSG comparison	Prader-Willi syndrome adults	Wrong target population.
PUBMED_MAIN_111	PubMed	main_tiab_beyond_ahi_hard_outcomes	39450810	[Obstructive Sleep Apnea and Nocturnal Hypoxemia Increase the Cardiovascular Risk in Chilean].	Labarca G	2024	Revista medica de Chile	exclude	E3	CT90%	Framingham cardiovascular risk	Chilean OSA cohort	Risk-model surrogate rather than observed hard clinical events.
PUBMED_MAIN_112	PubMed	main_tiab_beyond_ahi_hard_outcomes	35199843	Beyond Apnea-Hypopnea Index: how clinical and comorbidity are important in obstructive sleep apnea.	Sousa SR	2022	Advances in respiratory medicine	exclude	E2	none	Baveno classification / adherence / symptoms	adult OSA cohort	Wrong exposure family and no target hard outcomes.
PUBMED_MAIN_113	PubMed	main_tiab_beyond_ahi_hard_outcomes	26409337	Nocturnal hypoxia and functional outcome in stroke patients.	Celik C	2015	NeuroRehabilitation	exclude	E3	nocturnal hypoxia	functional outcome after stroke	stroke rehabilitation cohort	Functional outcome is outside target hard-outcome scope.
PUBMED_MAIN_114	PubMed	main_tiab_beyond_ahi_hard_outcomes	35786084	Nocturnal hypoxemia, blood pressure, vascular status and chronic mountain sickness in the highest city in the world.	Perger E	2022	Annals of medicine	exclude	E1	nocturnal hypoxemia	CMS and vascular status	chronic mountain sickness	Wrong population focus.
PUBMED_MAIN_115	PubMed	main_tiab_beyond_ahi_hard_outcomes	39181745	"""Skeletal surgical approach in Down Syndrome with Obstructive Sleep Apnea.""."	de Las Fuentes Monreal M	2024	Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery	exclude	E1	none	surgical treatment experience	Down syndrome adults with OSA	Wrong target population and intervention-focused design.
PUBMED_MAIN_116	PubMed	main_tiab_beyond_ahi_hard_outcomes	41018939	Heart Rate Variability in Obstructive Sleep Apnea: Association with Excessive Daytime Sleepiness and Cardiovascular Risk.	Rahimi B	2024	Tanaffos	exclude	E3	HRV	EDS and cardiovascular risk	adult OSA cohort	Autonomic surrogate outcome rather than hard clinical endpoint.
PUBMED_MAIN_117	PubMed	main_tiab_beyond_ahi_hard_outcomes	31850157	Sleep and Stroke: New Updates on Epidemiology, Pathophysiology, Assessment, and Treatment.	Lau HL	2019	Current sleep medicine reports	exclude	E7	none	sleep and stroke review	stroke and sleep disorders	Review article.
PUBMED_MAIN_118	PubMed	main_tiab_beyond_ahi_hard_outcomes	37420146	NoSAS score predicts cardiovascular disease in patients with obstructive sleep apnea.	Koseoglu HI	2024	Sleep & breathing = Schlaf & Atmung	exclude	E2	NoSAS score	cardiovascular disease	OSA cohort	Wrong exposure family; screening score rather than beyond-AHI hypoxic metric.
PUBMED_MAIN_119	PubMed	main_tiab_beyond_ahi_hard_outcomes	11803169	Nocturnal hypoxemia: a neglected cardiovascular risk factor in end-stage renal disease?	Zoccali C	2002	Blood purification	exclude	E7	none	renal nocturnal hypoxemia review	end-stage renal disease	Review article outside target population.
PUBMED_MAIN_134	PubMed	main_tiab_beyond_ahi_hard_outcomes	36642535	Nocturnal Intermittent Hypoxia and the Risk of Cardiovascular Disease among Japanese Populations: The Circulatory Risk in Communities Study (CIRCS).	Onuki	2023	Journal of atherosclerosis and thrombosis	uncertain		3% ODI / nocturnal intermittent hypoxia	incident CVD	community cohort not explicitly OSA-defined	Hard outcomes and ODI-like exposure are relevant, but eligibility depends on whether non-OSA community cohorts remain admissible.
PUBMED_MAIN_223	PubMed	main_tiab_beyond_ahi_hard_outcomes	33433302	Association of Nocturnal Hypoxemia and Pulse Rate Variability with Incident Atrial Fibrillation in Patients Investigated for Obstructive Sleep Apnea.	Briancon-Marjollet	2021	Annals of the American Thoracic Society	include		nocturnal hypoxemia / T90-like exposure	incident atrial fibrillation	patients investigated for OSA	Hard AF outcome with nocturnal hypoxemia quartiles and adjusted Cox models; likely extractable.
PUBMED_MAIN_226	PubMed	main_tiab_beyond_ahi_hard_outcomes	33394326	Risk of mortality among patients with moderate to severe obstructive sleep apnea and diabetes mellitus: results from the SantOSA cohort.	Labarca	2021	Sleep & breathing = Schlaf & Atmung	uncertain		T90 secondary signal within OSA plus diabetes cohort	CVD mortality	moderate-to-severe OSA plus diabetes subgroup context	Abstract reports T90 association with CV mortality, but the primary framing is OSA plus diabetes groups; keep for full-text rule check.
PUBMED_MAIN_230	PubMed	main_tiab_beyond_ahi_hard_outcomes	33214210	Hypoxic burden and heart rate variability predict stroke incidence in sleep apnoea.	Blanchard	2021	The European respiratory journal	uncertain		HB plus heart rate variability	incident stroke	sleep apnoea cohort	Title is highly relevant, but record is a letter with no abstract in corpus; retain for full-text/letter-content check.
PUBMED_MAIN_231	PubMed	main_tiab_beyond_ahi_hard_outcomes	33069723	Prolonged Circulation Time Is Associated With Mortality Among Older Men With Sleep-Disordered Breathing.	Kwon	2021	Chest	exclude	E2	circulation time	CV and all-cause mortality	older men with SDB	Hard outcomes are relevant, but exposure is circulation time rather than a prespecified beyond-AHI hypoxemia metric.
PUBMED_MAIN_240	PubMed	main_tiab_beyond_ahi_hard_outcomes	32679239	Low Prognostic Value of Novel Nocturnal Metrics in Patients With OSA and High Cardiovascular Event Risk: Post Hoc Analyses of the SAVE Study.	Linz	2020	Chest	uncertain		ODI / T90 / novel nocturnal SpO2 metrics	SAVE composite and component outcomes	high cardiovascular-risk OSA trial cohort	Hard outcomes are relevant; full text needed to determine whether in-scope ODI/T90 rows are extractable as sensitivity evidence.
PUBMED_MAIN_288	PubMed	main_tiab_beyond_ahi_hard_outcomes	30590586	Composition of nocturnal hypoxaemic burden and its prognostic value for cardiovascular mortality in older community-dwelling men.	Baumert	2020	European heart journal	include		T90 / ODI-derived hypoxaemic burden composition	CVD mortality	community older-men cohort	MrOS-based prognostic paper with explicit T90-related cardiovascular mortality results; likely extractable for sensitivity or main evidence gap filling.
